algorithm,n,time
t_cubic,30,0.11373710632324219
t_cubic,30,0.09748387336730957
t_cubic,30,0.10020899772644043
t_cubic,30,0.09692192077636719
t_cubic,30,0.09657692909240723
t_cubic,42,0.09661698341369629
t_cubic,42,0.12531185150146484
t_cubic,42,0.0963599681854248
t_cubic,42,0.09395313262939453
t_cubic,42,0.09491872787475586
t_cubic,59,0.09302401542663574
t_cubic,59,0.10769295692443848
t_cubic,59,0.10070919990539551
t_cubic,59,0.1018362045288086
t_cubic,59,0.10512518882751465
t_cubic,84,0.10140299797058105
t_cubic,84,0.10567593574523926
t_cubic,84,0.10372304916381836
t_cubic,84,0.10301327705383301
t_cubic,84,0.10708904266357422
t_cubic,118,0.1296980381011963
t_cubic,118,0.12300586700439453
t_cubic,118,0.11730504035949707
t_cubic,118,0.1157078742980957
t_cubic,118,0.11565279960632324
t_cubic,167,0.11685705184936523
t_cubic,167,0.10716390609741211
t_cubic,167,0.1175072193145752
t_cubic,167,0.12053990364074707
t_cubic,167,0.10988807678222656
t_cubic,235,0.10728287696838379
t_cubic,235,0.1108541488647461
t_cubic,235,0.11945915222167969
t_cubic,235,0.11198592185974121
t_cubic,235,0.10359501838684082
t_cubic,332,0.1150968074798584
t_cubic,332,0.1087350845336914
t_cubic,332,0.11612582206726074
t_cubic,332,0.15963220596313477
t_cubic,332,0.15712928771972656
t_cubic,468,0.14519500732421875
t_cubic,468,0.15169215202331543
t_cubic,468,0.15997076034545898
t_cubic,468,0.13138794898986816
t_cubic,468,0.13080787658691406
t_cubic,660,0.16339731216430664
t_cubic,660,0.15450716018676758
t_cubic,660,0.15558576583862305
t_cubic,660,0.20618772506713867
t_cubic,660,0.2455158233642578
t_cubic,931,0.20478415489196777
t_cubic,931,0.20935392379760742
t_cubic,931,0.1832730770111084
t_cubic,931,0.18146085739135742
t_cubic,931,0.19188904762268066
t_cubic,1313,0.31888794898986816
t_cubic,1313,0.2857401371002197
t_cubic,1313,0.28597021102905273
t_cubic,1313,0.27907395362854004
t_cubic,1313,0.2868640422821045
t_cubic,1852,0.5232031345367432
t_cubic,1852,0.5232980251312256
t_cubic,1852,0.5222609043121338
t_cubic,1852,0.5208911895751953
t_cubic,1852,0.5211260318756104
t_cubic,2611,1.1654138565063477
t_cubic,2611,1.1260812282562256
t_cubic,2611,1.2027390003204346
t_cubic,2611,1.135472059249878
t_cubic,2611,1.1601231098175049
t_cubic,3682,2.9445059299468994
t_cubic,3682,2.9302167892456055
t_cubic,3682,2.8908560276031494
t_cubic,3682,2.9495279788970947
t_cubic,3682,2.919724941253662
t_cubic,5192,7.8751161098480225
t_cubic,5192,7.91570782661438
t_cubic,5192,7.776684045791626
t_cubic,5192,8.004060983657837
t_cubic,5192,7.878482103347778
t_cubic,7321,21.698760986328125
t_cubic,7321,21.60650110244751
t_cubic,7321,21.505450010299683
t_cubic,7321,21.64985990524292
t_cubic,7321,21.890727043151855
t_quadratic,30,0.10335993766784668
t_quadratic,30,0.10708212852478027
t_quadratic,30,0.10412788391113281
t_quadratic,30,0.10498309135437012
t_quadratic,30,0.10131001472473145
t_quadratic,42,0.10248970985412598
t_quadratic,42,0.12057709693908691
t_quadratic,42,0.12074995040893555
t_quadratic,42,0.12309408187866211
t_quadratic,42,0.09491515159606934
t_quadratic,59,0.103546142578125
t_quadratic,59,0.10945296287536621
t_quadratic,59,0.10584402084350586
t_quadratic,59,0.10245299339294434
t_quadratic,59,0.0977022647857666
t_quadratic,84,0.1022040843963623
t_quadratic,84,0.11221790313720703
t_quadratic,84,0.14488601684570312
t_quadratic,84,0.19124197959899902
t_quadratic,84,0.1614840030670166
t_quadratic,118,0.14399385452270508
t_quadratic,118,0.1454451084136963
t_quadratic,118,0.28087615966796875
t_quadratic,118,0.19130992889404297
t_quadratic,118,0.1322019100189209
t_quadratic,167,0.1267070770263672
t_quadratic,167,0.1285538673400879
t_quadratic,167,0.12854480743408203
t_quadratic,167,0.13306593894958496
t_quadratic,167,0.12984299659729004
t_quadratic,235,0.13354277610778809
t_quadratic,235,0.14569997787475586
t_quadratic,235,0.13091611862182617
t_quadratic,235,0.13221979141235352
t_quadratic,235,0.1629641056060791
t_quadratic,332,0.16231608390808105
t_quadratic,332,0.15153813362121582
t_quadratic,332,0.1343538761138916
t_quadratic,332,0.15500426292419434
t_quadratic,332,0.14800786972045898
t_quadratic,468,0.151763916015625
t_quadratic,468,0.15769004821777344
t_quadratic,468,0.15444397926330566
t_quadratic,468,0.13942718505859375
t_quadratic,468,0.14429688453674316
t_quadratic,660,0.15142416954040527
t_quadratic,660,0.16147303581237793
t_quadratic,660,0.1467602252960205
t_quadratic,660,0.15519118309020996
t_quadratic,660,0.15477895736694336
t_quadratic,931,0.17720603942871094
t_quadratic,931,0.1545851230621338
t_quadratic,931,0.16704988479614258
t_quadratic,931,0.17007207870483398
t_quadratic,931,0.1636979579925537
t_quadratic,1313,0.19018101692199707
t_quadratic,1313,0.22261476516723633
t_quadratic,1313,0.1721510887145996
t_quadratic,1313,0.16057682037353516
t_quadratic,1313,0.20174694061279297
t_quadratic,1852,0.19700407981872559
t_quadratic,1852,0.1500697135925293
t_quadratic,1852,0.14064383506774902
t_quadratic,1852,0.1524219512939453
t_quadratic,1852,0.14360308647155762
t_quadratic,2611,0.1571650505065918
t_quadratic,2611,0.15195322036743164
t_quadratic,2611,0.16306400299072266
t_quadratic,2611,0.16558289527893066
t_quadratic,2611,0.15059804916381836
t_quadratic,3682,0.18372702598571777
t_quadratic,3682,0.16486287117004395
t_quadratic,3682,0.18736791610717773
t_quadratic,3682,0.1841599941253662
t_quadratic,3682,0.16940808296203613
t_quadratic,5192,0.19240784645080566
t_quadratic,5192,0.21767282485961914
t_quadratic,5192,0.2148430347442627
t_quadratic,5192,0.22118139266967773
t_quadratic,5192,0.21761727333068848
t_quadratic,7321,0.2421572208404541
t_quadratic,7321,0.24277520179748535
t_quadratic,7321,0.3185758590698242
t_quadratic,7321,0.2246849536895752
t_quadratic,7321,0.23444819450378418
t_quadratic,10323,0.2636561393737793
t_quadratic,10323,0.255037784576416
t_quadratic,10323,0.2566208839416504
t_quadratic,10323,0.26493287086486816
t_quadratic,10323,0.25240516662597656
t_quadratic,14556,0.29624080657958984
t_quadratic,14556,0.3021399974822998
t_quadratic,14556,0.29227209091186523
t_quadratic,14556,0.2947976589202881
t_quadratic,14556,0.27498388290405273
t_quadratic,20525,0.37227582931518555
t_quadratic,20525,0.35866308212280273
t_quadratic,20525,0.37285614013671875
t_quadratic,20525,0.40995192527770996
t_quadratic,20525,0.42098093032836914
t_quadratic,28940,0.6106030941009521
t_quadratic,28940,0.5038840770721436
